locatie,detalii,pret
"Bucuresti, IF, Berceni",3 camere  •  61 m²  •  etajul 5/10  •  1974  •  decomandat,73.900 eur
"Tulcea, TL, C5",3 camere  •  64 m²  •  etajul 3  •  1984  •  semidecomandat,76.500 eur
"Campia Turzii, CJ, Vest",2 camere  •  34 m²  •  etajul 4  •  1977  •  semidecomandat,42.000 eur
"Bistrita, BN, Independentei",2 camere  •  49 m²  •  etajul 3  •  2020  •  decomandat,45.000 eur
"Constanta, CT, Inel II",2 camere  •  44 m²  •  etajul 4/4  •  1990  •  semidecomandat,70.000 eur
"Bucuresti, IF, Drumul Taberei",4 camere  •  70 m²  •  etajul 1/10  •  1974  •  semidecomandat,69.900 eur
"Cluj-Napoca, CJ, Gheorgheni",4 camere  •  81 m²  •  etajul 1  •  1977  •  decomandat,175.000 eur
"Brasov, BV, Florilor",2 camere  •  35 m²  •  etajul 3  •  1979  •  semidecomandat,51.500 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 2  •  1980  •  semidecomandat,75.000 eur
"Tulcea, TL, Neptun",3 camere  •  38 m²  •  etajul 4  •  1989  •  semidecomandat,31.000 eur
"Deva, HD, Decebal",3 camere  •  54 m²  •  etajul 9  •  1980  •  decomandat,57.000 eur
"Baciu, CJ, Central",2 camere  •  46 m²  •  etajul 1/3  •  1984  •  decomandat,72.000 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  75 m²  •  etajul 5/10  •  1979  •  decomandat,85.000 eur
"Bucuresti, IF, Mosilor",3 camere  •  90 m²  •  etajul 3/5  •  2008  •  decomandat,165.000 eur
"Suceava, SV, Central",4 camere  •  140 m²  •  etajul 4/5  •  1970  •  decomandat,102.000 eur
"Deva, HD, Progresul",4 camere  •  88 m²  •  etajul 4  •  1974  •  decomandat,84.000 eur
"Bucuresti, IF, Herastrau",3 camere  •  120 m²  •  etajul 7/8  •  2021  •  decomandat,464.520 eur
"Brasov, BV, Florilor",2 camere  •  35 m²  •  etajul 2  •  1980  •  decomandat,45.900 eur
"Bucuresti, IF, Petricani",3 camere  •  119 m²  •  etajul 1/3  •  2021  •  decomandat,184.000 eur
"Sibiu, SB, Calea Cisnadiei",4 camere  •  103 m²  •  etajul 4/4  •  2015  •  semidecomandat,159.000 eur
"Brasov, BV, Vlahuta",2 camere  •  54 m²  •  etajul 9  •  1980  •  decomandat,89.000 eur
"Bragadiru, IF, Haliu",2 camere  •  70 m²  •  etajul 2  •  2020  •  decomandat,51.900 eur
"Brasov, BV, Astra",2 camere  •  46 m²  •  etajul 4  •  1980  •  decomandat,62.500 eur
"Bucuresti, IF, Alexandru Obregia",2 camere  •  45 m²  •  etajul 8/10  •  1976  •  decomandat,63.990 eur
"Bucuresti, IF, Central",2 camere  •  45 m²  •  etajul 1/4  •  2020  •  decomandat,175.000 eur
"Bucuresti, IF, Pipera",3 camere  •  80 m²  •  etajul 1/5  •  2007  •  decomandat,137.500 eur
"Iasi, IS, Popas Pacurari",1 cameră  •  40 m²  •  etajul 1  •  2021  •  decomandat,45.480 eur
"Brasov, BV, Astra",2 camere  •  55 m²  •  etajul 2  •  1980  •  decomandat,67.000 eur
"Bucuresti, IF, Cotroceni",2 camere  •  65 m²  •  etajul 8/10  •  2021  •  semidecomandat,175.000 eur
"Bucuresti, IF, Lujerului",2 camere  •  50 m²  •  etajul 6/11  •  2021  •  decomandat,135.000 eur
"Iasi, IS, Galata",2 camere  •  50 m²  •  etajul 2/3  •  2018  •  decomandat,78.000 eur
"Bragadiru, IF, Haliu",2 camere  •  50 m²  •  etajul 1/3  •  2021  •  decomandat,60.000 eur
"Bucuresti, IF, Floreasca",2 camere  •  61 m²  •  etajul 1/10  •  2021  •  decomandat,158.948 eur
"Popesti Leordeni, IF, Central",2 camere  •  58 m²  •  etajul 3/4  •  2021  •  decomandat,62.500 eur
"Sanpetru, BV, Sud",2 camere  •  60 m²  •  etajul 4  •  2018  •  decomandat,79.000 eur
"Iasi, IS, Galata",2 camere  •  53 m²  •  etajul 1/3  •  2019  •  decomandat,68.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  70 m²  •  etajul 7/10  •  1987  •  semidecomandat,119.000 eur
"Bucuresti, IF, 13 Septembrie",3 camere  •  73 m²  •  etajul 7/8  •  1989  •  decomandat,109.990 eur
"Bucuresti, IF, Pantelimon",4 camere  •  95 m²  •  etajul 8/10  •  1976  •  decomandat,130.000 eur
"Iasi, IS, Podu Ros",3 camere  •  60 m²  •  etajul 4  •  1970  •  semidecomandat,57.000 eur
"Iasi, IS, Tatarasi",2 camere  •  50 m²  •  etajul 4  •  1977  •  decomandat,60.000 eur
"Bucuresti, IF, Lujerului",2 camere  •  40 m²  •  etajul 7/10  •  1970  •  decomandat,65.000 eur
"Pitesti, AG, Gavana 3",4 camere  •  77 m²  •  etajul 3/4  •  1981  •  decomandat,82.500 eur
"Bragadiru, IF, Haliu",2 camere  •  53 m²  •  etajul 2/3  •  2020  •  decomandat,60.000 eur
"Oradea, BH, Nufarul",2 camere  •  40 m²  •  etajul 7/8  •  2020  •  decomandat,69.000 eur
"Bucuresti, IF, Baicului",3 camere  •  82 m²  •  etajul 1  •  1988  •  decomandat,110.000 eur
