locatie,detalii,pret
"Bucuresti, IF, Herastrau",3 camere  •  85 m²  •  etajul 3/12+  •  2021  •  decomandat,395.000 eur
"Timisoara, TM, Girocului",2 camere  •  50 m²  •  etajul 2/5  •  1980  •  semidecomandat,68.000 eur
"Brasov, BV, Craiter",4 camere  •  107 m²  •  etajul 4  •  1980  •  decomandat,115.000 eur
"Oradea, BH, Decebal",3 camere  •  85 m²  •  etajul 8  •  1987  •  decomandat,75.000 eur
"Tulcea, TL, Piata Veche",2 camere  •  48 m²  •  etajul 2  •  1977  •  semidecomandat,61.000 eur
"Bucuresti, IF, Politehnica",3 camere  •  65 m²  •  etajul 4/4  •  1974  •  decomandat,89.900 eur
"Brasov, BV, Avantgarden",2 camere  •  56 m²  •  etajul 7  •  2015  •  decomandat,92.000 eur
"Tulcea, TL, Pelican",4 camere  •  94 m²  •  etajul 2/4  •  1980  •  decomandat,98.000 eur
"Iasi, IS, Tatarasi",4 camere  •  125 m²  •  etajul 4  •  2004  •  decomandat,100.000 eur
"Bucuresti, IF, Muncii",2 camere  •  58 m²  •  etajul 2  •  2013  •  decomandat,95.000 eur
"Bucuresti, IF, Bucurestii Noi",3 camere  •  64 m²  •  etajul 2/3  •  2018  •  decomandat,168.000 eur
"Sibiu, SB, Terezian",3 camere  •  86 m²  •  etajul 5/5  •  2010  •  decomandat,99.500 eur
"Bucuresti, IF, Tineretului",2 camere  •  48 m²  •  etajul 6/10  •  1978  •  decomandat,99.000 eur
"Arad, AR, Micalaca",5 camere  •  110 m²  •  etajul 2/4  •  1985  •  decomandat,85.000 eur
"Cluj-Napoca, CJ, Iris",2 camere  •  44 m²  •  etajul 6/7  •  2017  •  semidecomandat,131.900 eur
"Floresti, CJ, Ultracentral",3 camere  •  60 m²  •  etajul 2/6  •  2019  •  decomandat,113.000 eur
"Bucuresti, IF, Central",3 camere  •  77 m²  •  etajul 3/10  •  1980  •  decomandat,89.990 eur
"Cluj-Napoca, CJ, Semicentral",2 camere  •  67 m²  •  etajul 2/3  •  1997  •  semidecomandat,190.000 eur
"Mamaia Sat, CT, Central",2 camere  •  60 m²  •  etajul 3/3  •  2015  •  decomandat,87.500 eur
"Chiajna, IF, Nord-Est",2 camere  •  47 m²  •  etajul 1  •  2020  •  decomandat,51.062 eur
"Dumbravita, TM, Central",3 camere  •  69 m²  •  etajul 2/3  •  2021  •  semidecomandat,112.000 eur
"Constanta, CT, Tomis Nord",2 camere  •  40 m²  •  etajul 4/4  •  1983  •  semidecomandat,52.000 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 1/3  •  2020  •  decomandat,60.000 eur
"Tulcea, TL, C5",3 camere  •  56 m²  •  etajul 3/4  •  1980  •  semidecomandat,75.000 eur
"Floresti, CJ, Vest",3 camere  •  63 m²  •  etajul 2  •  2014  •  semidecomandat,85.000 eur
"Cluj-Napoca, CJ, Borhanci",2 camere  •  57 m²  •  etajul 2  •  2019  •  semidecomandat,87.000 eur
"Floresti, CJ, Central",1 cameră  •  44 m²  •  etajul 4/5  •  2021  •  decomandat,46.000 eur
"Bragadiru, IF, Central",2 camere  •  58 m²  •  etajul 1/3  •  2020  •  decomandat,48.000 eur
"Iasi, IS, Metalurgie",3 camere  •  73 m²  •  etajul 4/4  •  1980  •  decomandat,83.000 eur
"Brasov, BV, Astra",3 camere  •  56 m²  •  etajul 3  •  1980  •  nedecomandat,78.500 eur
"Bragadiru, IF, Haliu",2 camere  •  63 m²  •  etajul 1  •  2020  •  decomandat,67.000 eur
"Bragadiru, IF, Central",2 camere  •  60 m²  •  etajul 1/5  •  2020  •  decomandat,44.000 eur
"Urlati, PH, Central",2 camere  •  42 m²  •  etajul 4  •  1977  •  circular,27.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  45 m²  •  etajul 1  •  1978  •  nedecomandat,54.000 eur
"Giroc, TM, Central",2 camere  •  50 m²  •  etajul 1/3  •  2021  •  decomandat,75.000 eur
"Braila, BR, Hipodrom",3 camere  •  65 m²  •  etajul 3  •  1978  •  decomandat,55.000 eur
"Buzau, BZ, Micro 14",2 camere  •  35 m²  •  etajul 3  •  1981  •  decomandat,43.000 eur
"Bucuresti, IF, Calea Calarasilor",2 camere  •  106 m²  •  etajul 7/8  •  2021  •  decomandat,215.000 eur
"Iasi, IS, Cug",2 camere  •  55 m²  •  etajul 8/8  •  1986  •  decomandat,59.900 eur
"Bucuresti, IF, Sisesti",2 camere  •  57 m²  •  etajul 3/5  •  2020  •  decomandat,118.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 4/8  •  2019  •  decomandat,51.062 eur
"Bucuresti, IF, Pipera",3 camere  •  107 m²  •  etajul 8/14  •  2012  •  decomandat,315.000 eur
"Alba Iulia, AB, Central",2 camere  •  69 m²  •  etajul 2/2  •  2007  •  decomandat,59.900 eur
"Targu Mures, MS, Tudor Vladimirescu",4 camere  •  84 m²  •  etajul 4/4  •  1980  •  decomandat,95.000 eur
"Sibiu, SB, Turnisor",3 camere  •  70 m²  •  etajul 4/5  •  1995  •  decomandat,97.000 eur
"Brasov, BV, Centrul Civic",2 camere  •  50 m²  •  etajul 1  •  1980  •  semidecomandat,93.000 eur
"Focsani, VN, Sud",3 camere  •  47 m²  •  etajul 2/4  •  1977  •  decomandat,49.000 eur
"Deva, HD, Decebal",3 camere  •  65 m²  •  etajul 4  •  1981  •  decomandat,88.000 eur
"Chisoda, TM, Central",2 camere  •  56 m²  •  etajul 1/3  •  2021  •  decomandat,83.000 eur
"Bucuresti, IF, Lujerului",2 camere  •  54 m²  •  etajul 9/10  •  1979  •  decomandat,83.500 eur
"Cluj-Napoca, CJ, Gheorgheni",2 camere  •  47 m²  •  etajul 4/4  •  1989  •  semidecomandat,110.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  72 m²  •  etajul 8/8  •  1985  •  decomandat,125.000 eur
"Oradea, BH, Central",2 camere  •  50 m²  •  etajul 4/4  •  1980  •  decomandat,60.900 eur
"Floresti, CJ, Est",2 camere  •  48 m²  •  etajul 1/3  •  2019  •  semidecomandat,67.000 eur
"Sibiu, SB, Calea Cisnadiei",3 camere  •  71 m²  •  etajul 1/4  •  2016  •  decomandat,104.000 eur
"Brasov, BV, 13 Decembrie",2 camere  •  37 m²  •  etajul 2  •  1978  •  semidecomandat,56.000 eur
"Cluj-Napoca, CJ, Marasti",2 camere  •  52 m²  •  etajul 1/4  •  2017  •  semidecomandat,129.000 eur
"Brasov, BV, Garii",2 camere  •  50 m²  •  etajul 4  •  1980  •  semidecomandat,78.000 eur
"Bucuresti, IF, Sisesti",2 camere  •  67 m²  •  etajul 1/12+  •  2021  •  decomandat,101.862 eur
"Constanta, CT, Central",2 camere  •  46 m²  •  etajul 1/4  •  1999  •  semidecomandat,75.000 eur
"Brasov, BV, Aurel Vlaicu",4 camere  •  80 m²  •  etajul 1  •  1980  •  decomandat,90.000 eur
"Bucuresti, IF, Aviatorilor",5 camere  •  275 m²  •  etajul 3/3  •  2006  •  decomandat,1.350.000 eur
"Brasov, BV, Astra",3 camere  •  75 m²  •  etajul 4  •  1980  •  decomandat,102.000 eur
"Bucuresti, IF, Giurgiului",2 camere  •  49 m²  •  etajul 3/4  •  1980  •  decomandat,62.000 eur
"Galati, GL, Tiglina 1",2 camere  •  50 m²  •  etajul 6/10  •  1977  •  decomandat,70.000 eur
"Sibiu, SB, Central",3 camere  •  70 m²  •  etajul 4/4  •  2007  •  nedecomandat,82.000 eur
"Galati, GL, I.C.Frimu",2 camere  •  52 m²  •  etajul 4/4  •  1987  •  decomandat,53.000 eur
"Sibiu, SB, Mihai Viteazul",2 camere  •  49 m²  •  etajul 4/5  •  1980  •  semidecomandat,67.000 eur
"Bucuresti, IF, Metalurgiei",2 camere  •  46 m²  •  etajul 3/5  •  2021  •  decomandat,58.500 eur
"Varteju, IF, Central",2 camere  •  46 m²  •  etajul 3/3  •  2020  •  decomandat,50.000 eur
"Iasi, IS, Nicolina",2 camere  •  58 m²  •  etajul 1/4  •  1984  •  decomandat,69.900 eur
"Bucuresti, IF, Berceni",2 camere  •  49 m²  •  etajul 3/6  •  2021  •  semidecomandat,55.000 eur
"Deva, HD, Balcescu",2 camere  •  50 m²  •  etajul 4  •  1975  •  decomandat,53.000 eur
"Brasov, BV, Grivitei",2 camere  •  50 m²  •  etajul 1  •  1978  •  decomandat,60.500 eur
"Bucuresti, IF, P-ta Unirii",2 camere  •  67 m²  •  etajul 5/8  •  1992  •  decomandat,210.000 eur
"Bucuresti, IF, Aparatorii Patriei",3 camere  •  67 m²  •  etajul 3/8  •  1983  •  decomandat,93.000 eur
"Iasi, IS, Zona industriala",2 camere  •  56 m²  •  etajul 1  •  2021  •  decomandat,64.900 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 7/8  •  2020  •  decomandat,51.062 eur
"Bucuresti, IF, Baneasa",3 camere  •  112 m²  •  etajul 3/4  •  2021  •  decomandat,189.000 eur
"Bucuresti, IF, Dristor",1 cameră  •  25 m²  •  etajul 2/8  •  1984  •  semidecomandat,43.500 eur
"Ploiesti, PH, 9 Mai",3 camere  •  177 m²  •  etajul 3/6  •  2008  •  decomandat,132.000 eur
"Blaj, AB, Central",2 camere  •  40 m²  •  etajul 4/5  •  1972  •  decomandat,43.900 eur
"Brasov, BV, Noua",3 camere  •  76 m²  •  etajul 2  •  1980  •  decomandat,90.000 eur
"Constanta, CT, Inel II",2 camere  •  47 m²  •  etajul 2  •  2000  •  decomandat,78.000 eur
"Bucuresti, IF, Stefan cel Mare",4 camere  •  94 m²  •  etajul 1/8  •  1982  •  semidecomandat,140.000 eur
"Timisoara, TM, Calea Urseni",2 camere  •  52 m²  •  etajul 1/2  •  2021  •  decomandat,67.000 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 4  •  1980  •  semidecomandat,68.000 eur
"Bucuresti, IF, Berceni",3 camere  •  65 m²  •  etajul 4/4  •  1974  •  semidecomandat,67.000 eur
"Bucuresti, IF, Gorjului",1 cameră  •  38 m²  •  etajul 7/10  •  1982  •  decomandat,56.990 eur
"Bucuresti, IF, Giulesti",2 camere  •  50 m²  •  etajul 3/10  •  1978  •  decomandat,68.000 eur
"Sibiu, SB, Central",2 camere  •  85 m²  •  etajul 1  •  1980  •  nedecomandat,69.500 eur
"Chiajna, IF, Central",2 camere  •  45 m²  •  etajul 1  •  2020  •  decomandat,47.775 eur
"Iasi, IS, Galata",2 camere  •  53 m²  •  etajul 2/4  •  2018  •  decomandat,83.900 eur
"Tulcea, TL, E3",2 camere  •  50 m²  •  etajul 4  •  1988  •  decomandat,67.000 eur
"Bucuresti, IF, Berceni",2 camere  •  40 m²  •  etajul 3/5  •  2021  •  decomandat,58.500 eur
"Brasov, BV, Astra",2 camere  •  56 m²  •  etajul 4  •  1980  •  semidecomandat,76.500 eur
"Bucuresti, IF, Chisinau",3 camere  •  66 m²  •  etajul 9/10  •  1984  •  semidecomandat,101.000 eur
"Cluj-Napoca, CJ, Sopor",2 camere  •  40 m²  •  etajul 3/10  •  2018  •  semidecomandat,152.000 eur
"Bucuresti, IF, Unirii",3 camere  •  97 m²  •  etajul 1/4  •  2021  •  decomandat,220.000 eur
"Bucuresti, IF, 1 Decembrie 1918",2 camere  •  51 m²  •  etajul 5/10  •  1978  •  semidecomandat,75.000 eur
"Bucuresti, IF, Basarabia",2 camere  •  51 m²  •  etajul 2/4  •  2013  •  semidecomandat,95.000 eur
"Sibiu, SB, Central",2 camere  •  56 m²  •  etajul 1/3  •  2018  •  semidecomandat,90.000 eur
"Ramnicu Valcea, VL, Ostroveni",3 camere  •  65 m²  •  etajul 4  •  1979  •  decomandat,67.000 eur
"Craiova, DJ, Craiovita Noua",3 camere  •  51 m²  •  etajul 3/4  •  1978  •  semidecomandat,74.990 eur
"Focsani, VN, Central",2 camere  •  61 m²  •  etajul 3/3  •  1985  •  decomandat,74.000 eur
"Brasov, BV, Triaj",2 camere  •  56 m²  •  etajul 3  •  1980  •  decomandat,79.500 eur
"Slatina, OT, Zahana",2 camere  •  58 m²  •  etajul 4/4  •  1982  •  semidecomandat,67.500 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  43 m²  •  etajul 4/10  •  1973  •  semidecomandat,62.227 eur
"Galati, GL, Micro 20",3 camere  •  73 m²  •  etajul 6  •  1980  •  decomandat,74.000 eur
"Cluj-Napoca, CJ, Floresti",3 camere  •  59 m²  •  etajul 2/3  •  2020  •  semidecomandat,93.000 eur
"Focsani, VN, Brailei",3 camere  •  74 m²  •  etajul 1/4  •  1985  •  decomandat,69.500 eur
"Bragadiru, IF, Central",2 camere  •  66 m²  •  etajul 1  •  2020  •  decomandat,53.000 eur
"Brasov, BV, Astra",2 camere  •  53 m²  •  etajul 4  •  1980  •  semidecomandat,70.000 eur
"Focsani, VN, Central",3 camere  •  68 m²  •  etajul 4/4  •  1975  •  decomandat,51.000 eur
"Bucuresti, IF, Unirii",3 camere  •  87 m²  •  etajul 5/6  •  2021  •  decomandat,175.000 eur
"Constanta, CT, Capitol",3 camere  •  98 m²  •  etajul 1/2  •  1974  •  decomandat,230.000 eur
"Brasov, BV, Scriitorilor",2 camere  •  45 m²  •  etajul 4  •  1980  •  decomandat,71.500 eur
"Otopeni, IF, Ultracentral",4 camere  •  110 m²  •  etajul 1  •  1980  •  decomandat,130.000 eur
"Iasi, IS, Nicolina",1 cameră  •  35 m²  •  etajul 4  •  1980  •  decomandat,40.000 eur
"Brasov, BV, Central",2 camere  •  60 m²  •  etajul 8/8  •  1983  •  decomandat,90.000 eur
"Bucuresti, IF, Berceni",3 camere  •  63 m²  •  etajul 4/4  •  1976  •  semidecomandat,74.500 eur
"Pitesti, AG, Central",3 camere  •  80 m²  •  etajul 3/6  •  2018  •  decomandat,79.500 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  53 m²  •  etajul 5/10  •  1978  •  semidecomandat,74.500 eur
"Bucuresti, IF, Colentina",2 camere  •  56 m²  •  etajul 1/12+  •  2011  •  decomandat,71.900 eur
"Bucuresti, IF, Aviatiei",3 camere  •  80 m²  •  etajul 4  •  2018  •  decomandat,119.000 eur
"Poiana Brasov, BV, Central",3 camere  •  77 m²  •  etajul 4/4  •  1970  •  decomandat,94.000 eur
"Iasi, IS, Pacurari",2 camere  •  45 m²  •  etajul 1  •  2021  •  semidecomandat,49.000 eur
"Ploiesti, PH, Central",2 camere  •  58 m²  •  etajul 3/8  •  2021  •  decomandat,68.900 eur
"Brasov, BV, Judetean",2 camere  •  56 m²  •  etajul 4  •  1980  •  decomandat,68.000 eur
"Sibiu, SB, Terezian",3 camere  •  75 m²  •  etajul 3/3  •  2009  •  decomandat,93.000 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 1  •  1977  •  semidecomandat,65.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  43 m²  •  etajul 7  •  2015  •  semidecomandat,77.000 eur
"Iasi, IS, Cug",3 camere  •  72 m²  •  etajul 3  •  1985  •  decomandat,110.000 eur
"Bucuresti, IF, Antiaeriana",2 camere  •  52 m²  •  etajul 5/5  •  2019  •  decomandat,64.990 eur
"Deva, HD, Decebal",4 camere  •  80 m²  •  etajul 4  •  1975  •  decomandat,72.000 eur
"Chiajna, IF, Sud-Vest",3 camere  •  69 m²  •  etajul 3/6  •  2011  •  decomandat,82.000 eur
"Resita, CS, Micro IV",2 camere  •  52 m²  •  etajul 4/4  •  1980  •  decomandat,41.900 eur
"Timisoara, TM, Circumvalatiunii",3 camere  •  65 m²  •  etajul 8/10  •  1977  •  semidecomandat,86.000 eur
"Bucuresti, IF, Doamna Ghica",3 camere  •  82 m²  •  etajul 2  •  1992  •  decomandat,89.500 eur
"Floresti, CJ, Central",2 camere  •  52 m²  •  etajul 2/3  •  2021  •  semidecomandat,74.990 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  70 m²  •  etajul 3  •  1970  •  semidecomandat,18.494 eur
"Chiajna, IF, Ultracentral",3 camere  •  65 m²  •  etajul 2  •  2020  •  decomandat,70.412 eur
"Suceava, SV, Zamca",3 camere  •  64 m²  •  etajul 4  •  1985  •  decomandat,80.000 eur
"Ramnicu Valcea, VL, Nord",3 camere  •  70 m²  •  etajul 4  •  1987  •  decomandat,65.000 eur
"Bucuresti, IF, Militari",3 camere  •  69 m²  •  etajul 2/3  •  2021  •  decomandat,100.000 eur
"Oradea, BH, Central",3 camere  •  64 m²  •  etajul 3/5  •  2021  •  semidecomandat,141.500 eur
"Constanta, CT, Central",2 camere  •  45 m²  •  etajul 4/4  •  1980  •  decomandat,61.000 eur
"Iasi, IS, Centru Civic",1 cameră  •  38 m²  •  etajul 7/12  •  2018  •  decomandat,78.000 eur
"Otopeni, IF, Central",3 camere  •  76 m²  •  etajul 3/3  •  2020  •  decomandat,113.990 eur
"Bucuresti, IF, Herastrau",3 camere  •  104 m²  •  etajul 3/6  •  2007  •  decomandat,295.000 eur
"Chiajna, IF, Nord-Vest",2 camere  •  57 m²  •  etajul 3  •  2020  •  decomandat,61.812 eur
"Constanta, CT, Tomis Plus",3 camere  •  72 m²  •  etajul 3  •  2018  •  decomandat,105.000 eur
"Tulcea, TL, Pacii",3 camere  •  91 m²  •  etajul 1  •  1970  •  decomandat,110.000 eur
"Eforie Nord, CT, Central",1 cameră  •  41 m²  •  etajul 7/7  •  2021  •  decomandat,79.000 eur
"Ramnicu Valcea, VL, Cetatuia",3 camere  •  99 m²  •  etajul 1/2  •  2021  •  decomandat,115.000 eur
"Timisoara, TM, Sagului",2 camere  •  51 m²  •  etajul 6/10  •  1980  •  decomandat,76.000 eur
"Iasi, IS, Centru Civic",1 cameră  •  37 m²  •  etajul 1/6  •  2021  •  semidecomandat,74.000 eur
"Bucuresti, IF, Dorobanti",2 camere  •  40 m²  •  etajul 6/10  •  1975  •  decomandat,83.900 eur
"Bucuresti, IF, Barbu Vacarescu",2 camere  •  89 m²  •  etajul 2/4  •  2018  •  semidecomandat,210.000 eur
"Brasov, BV, Valea Cetatii",2 camere  •  46 m²  •  etajul 6  •  1980  •  decomandat,73.500 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  52 m²  •  etajul 9/10  •  1974  •  semidecomandat,77.000 eur
"Iasi, IS, Tatarasi",2 camere  •  53 m²  •  etajul 8  •  2019  •  decomandat,119.000 eur
"Brasov, BV, Avantgarden",2 camere  •  54 m²  •  etajul 7  •  2015  •  decomandat,87.500 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  63 m²  •  etajul 8/10  •  1972  •  decomandat,76.000 eur
"Bucuresti, IF, Theodor Pallady",2 camere  •  52 m²  •  etajul 8  •  1973  •  semidecomandat,62.500 eur
"Bucuresti, IF, Pipera",3 camere  •  87 m²  •  etajul 1/7  •  2000  •  decomandat,160.000 eur
"Bucuresti, IF, Vitan",3 camere  •  74 m²  •  etajul 7/8  •  1990  •  decomandat,142.000 eur
"Mioveni, AG, Sud",3 camere  •  58 m²  •  etajul 1  •  1985  •  decomandat,57.990 eur
"Iasi, IS, Nicolina",1 cameră  •  24 m²  •  etajul 4  •  1970  •  semidecomandat,33.000 eur
"Bragadiru, IF, Central",2 camere  •  60 m²  •  etajul 1/5  •  2020  •  decomandat,44.000 eur
"Cisnadie, SB, Est",3 camere  •  70 m²  •  etajul 3/3  •  2017  •  decomandat,98.000 eur
"Tulcea, TL, Spitalului",2 camere  •  46 m²  •  etajul 3/4  •  1970  •  semidecomandat,46.000 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 4/10  •  1979  •  decomandat,75.500 eur
"Piatra Neamt, NT, Darmanesti",3 camere  •  104 m²  •  etajul 1/4  •  1990  •  decomandat,136.000 eur
"Timisoara, TM, Soarelui",2 camere  •  49 m²  •  etajul 1/3  •  2017  •  decomandat,85.000 eur
"Brasov, BV, Centrul Civic",2 camere  •  42 m²  •  etajul 3  •  1980  •  semidecomandat,67.000 eur
"Macin, TL, Central",4 camere  •  100 m²  •  etajul 3  •  1980  •  decomandat,39.999 eur
"Brasov, BV, Tractorul",3 camere  •  79 m²  •  etajul 1/3  •  2021  •  decomandat,118.700 eur
"Iasi, IS, Pacurari",2 camere  •  61 m²  •  etajul 1/2  •  2021  •  decomandat,59.500 eur
"Targu Mures, MS, Tudor Vladimirescu",2 camere  •  52 m²  •  etajul 5/7  •  1977  •  decomandat,68.500 eur
"Iasi, IS, Podu Ros",3 camere  •  54 m²  •  etajul 4  •  1970  •  semidecomandat,59.000 eur
"Cluj-Napoca, CJ, Marasti",2 camere  •  50 m²  •  etajul 8/8  •  1980  •  decomandat,115.000 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 4  •  1980  •  semidecomandat,72.000 eur
"Bucuresti, IF, Berceni",3 camere  •  67 m²  •  etajul 3/4  •  1976  •  decomandat,100.000 eur
"Brasov, BV, Scriitorilor",3 camere  •  60 m²  •  etajul 2  •  1980  •  decomandat,107.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  55 m²  •  etajul 4/10  •  1980  •  semidecomandat,69.000 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 4  •  2020  •  decomandat,38.900 eur
"Domnesti, IF, Nord",3 camere  •  87 m²  •  etajul 3  •  2012  •  decomandat,85.000 eur
"Bucuresti, IF, Chisinau",1 cameră  •  33 m²  •  etajul 5/8  •  1984  •  semidecomandat,49.000 eur
"Chiajna, IF, Central",2 camere  •  57 m²  •  etajul 8/8  •  2020  •  decomandat,61.812 eur
"Constanta, CT, Tomis Nord",2 camere  •  50 m²  •  etajul 8/10  •  1977  •  semidecomandat,77.500 eur
"Constanta, CT, Inel II",3 camere  •  82 m²  •  etajul 7/8  •  1990  •  decomandat,130.000 eur
"Cluj-Napoca, CJ, Floresti",3 camere  •  62 m²  •  etajul 3/4  •  2000  •  decomandat,83.990 eur
"Bucuresti, IF, Salaj",2 camere  •  56 m²  •  etajul 2/4  •  1986  •  decomandat,64.990 eur
"Bucuresti, IF, Titan",3 camere  •  70 m²  •  etajul 7/8  •  1984  •  decomandat,93.500 eur
"Bucuresti, IF, 1 Decembrie 1918",2 camere  •  55 m²  •  etajul 3/8  •  1978  •  decomandat,78.000 eur
"Ploiesti, PH, 9 Mai",3 camere  •  77 m²  •  etajul 5/10  •  2014  •  decomandat,100.000 eur
"Arad, AR, Alfa",1 cameră  •  60 m²  •  etajul 3/4  •  1985  •  decomandat,41.000 eur
"Bragadiru, IF, Haliu",2 camere  •  65 m²  •  etajul 3/3  •  2020  •  decomandat,52.000 eur
"Galati, GL, Micro 40",2 camere  •  50 m²  •  etajul 9/9  •  1977  •  circular,52.000 eur
"Timisoara, TM, Buziasului",2 camere  •  75 m²  •  etajul 3/6  •  2010  •  decomandat,112.000 eur
"Sibiu, SB, Turnisor",2 camere  •  54 m²  •  etajul 4/4  •  1980  •  decomandat,64.000 eur
"Bucuresti, IF, Salajan",2 camere  •  37 m²  •  etajul 2/10  •  1977  •  decomandat,67.000 eur
"Bucuresti, IF, Iancului",2 camere  •  53 m²  •  etajul 4/10  •  1979  •  decomandat,84.000 eur
"Bucuresti, IF, Herastrau",2 camere  •  85 m²  •  etajul 3/8  •  2008  •  semidecomandat,145.000 eur
"Chiajna, IF, Central",2 camere  •  46 m²  •  etajul 3  •  2020  •  decomandat,49.987 eur
"Brasov, BV, Avantgarden",2 camere  •  57 m²  •  etajul 1/6  •  2021  •  decomandat,88.500 eur
"Iasi, IS, Pacurari",2 camere  •  56 m²  •  etajul 1/4  •  2020  •  decomandat,72.600 eur
"Bucuresti, IF, Lacul Tei",3 camere  •  70 m²  •  etajul 8/8  •  1986  •  decomandat,135.000 eur
"Chiajna, IF, Nord-Vest",2 camere  •  45 m²  •  etajul 8/7  •  2020  •  decomandat,47.775 eur
"Tulcea, TL, Central",3 camere  •  76 m²  •  etajul 4  •  1990  •  decomandat,85.000 eur
"Floresti, CJ, Central",2 camere  •  57 m²  •  etajul 3/4  •  2012  •  semidecomandat,79.900 eur
"Bucuresti, IF, Tineretului",1 cameră  •  33 m²  •  etajul 2/10  •  1972  •  decomandat,68.500 eur
"Iasi, IS, Nicolina",3 camere  •  90 m²  •  etajul 6/8  •  1985  •  decomandat,92.000 eur
"Bucuresti, IF, Theodor Pallady",2 camere  •  59 m²  •  etajul 3/3  •  2020  •  decomandat,75.000 eur
"Alba Iulia, AB, Central",2 camere  •  60 m²  •  etajul 3/3  •  2019  •  decomandat,71.500 eur
"Chiajna, IF, Central",2 camere  •  45 m²  •  etajul 2/8  •  2020  •  decomandat,47.775 eur
"Bucuresti, IF, Domenii",3 camere  •  76 m²  •  etajul 2/4  •  2012  •  decomandat,259.990 eur
"Cluj-Napoca, CJ, Floresti",2 camere  •  47 m²  •  etajul 3/3  •  2021  •  semidecomandat,62.900 eur
"Floresti, CJ, Central",3 camere  •  51 m²  •  etajul 1/3  •  2019  •  semidecomandat,79.000 eur
"Bucuresti, IF, Dacia",2 camere  •  53 m²  •  etajul 7/9  •  1972  •  semidecomandat,129.900 eur
"Bacau, BC, Banca Nationala",2 camere  •  52 m²  •  etajul 3  •  1989  •  decomandat,61.900 eur
"Floresti, CJ, Central",3 camere  •  57 m²  •  etajul 1/3  •  2012  •  semidecomandat,72.000 eur
"Bucuresti, IF, Vacaresti",2 camere  •  54 m²  •  etajul 2/9  •  2017  •  decomandat,155.000 eur
"Bucuresti, IF, Lacul Tei",3 camere  •  75 m²  •  etajul 5  •  1987  •  decomandat,88.500 eur
"Brasov, BV, Racadau",2 camere  •  55 m²  •  etajul 7  •  1982  •  decomandat,83.500 eur
"Iasi, IS, Copou",2 camere  •  67 m²  •  etajul 1  •  2021  •  decomandat,125.000 eur
"Drobeta Turnu Severin, MH, Autogara",4 camere  •  97 m²  •  etajul 4  •  1983  •  decomandat,58.000 eur
"Bucuresti, IF, Crangasi",3 camere  •  68 m²  •  etajul 8/8  •  1985  •  decomandat,79.000 eur
"Tulcea, TL, Piata Veche",2 camere  •  40 m²  •  etajul 3  •  1977  •  decomandat,51.000 eur
"Baia Mare, MM, Republicii",4 camere  •  85 m²  •  etajul 2/4  •  1989  •  decomandat,96.000 eur
"Sinaia, PH, Sud-Vest",2 camere  •  47 m²  •  etajul 4  •  1980  •  semidecomandat,55.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 4/8  •  2020  •  decomandat,51.062 eur
"Iasi, IS, Copou",1 cameră  •  46 m²  •  etajul 1  •  2021  •  decomandat,55.000 eur
"Bucuresti, IF, Jiului",2 camere  •  46 m²  •  etajul 1/2  •  2015  •  decomandat,67.000 eur
"Bucuresti, IF, Primaverii",4 camere  •  180 m²  •  etajul 1/5  •  2008  •  decomandat,850.000 eur
"Chiajna, IF, Nord-Vest",2 camere  •  54 m²  •  etajul 7  •  2020  •  decomandat,58.050 eur
"Bucuresti, IF, Octavian Goga",3 camere  •  78 m²  •  etajul 7/12+  •  2004  •  decomandat,174.900 eur
"Constanta, CT, Faleza Nord",1 cameră  •  40 m²  •  etajul 4/4  •  1984  •  decomandat,66.000 eur
"Bacau, BC, Orizont",4 camere  •  77 m²  •  etajul 1  •  1982  •  decomandat,65.900 eur
"Iasi, IS, Moara de foc",2 camere  •  66 m²  •  etajul 1  •  1987  •  decomandat,85.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 3  •  2020  •  decomandat,51.062 eur
"Cugir, AB, Sud-Vest",2 camere  •  54 m²  •  etajul 4/4  •  1980  •  decomandat,35.900 eur
"Iasi, IS, Dacia",3 camere  •  66 m²  •  etajul 4  •  1980  •  decomandat,66.000 eur
"Bucuresti, IF, Theodor Pallady",3 camere  •  69 m²  •  etajul 1/3  •  2021  •  semidecomandat,100.000 eur
